mp_id,formula,band_gap,Ef_eV_atom,density_g_cm3,volume_A3,nsites,n_elements,crystal_system
mp-550070,NbBr2O,0.9038,-1.975614217499999,4.633206536333692,192.61378741680204,8,3,Monoclinic
mp-19205,ErVO3,1.5838,-3.3105158775,8.018613803040648,220.50361904722976,20,3,Orthorhombic
mp-540577,KZr2(PO4)3,4.2822,-3.18968664089881,3.055032499583022,550.5651784412129,36,4,Trigonal
mp-753467,TaCrO4,2.459699999999999,-2.945962722055546,7.540295819655173,130.78614045953398,12,3,Tetragonal
mp-554148,KFe(MoO4)2,2.3116,-2.007513676854168,3.237975307417978,425.46484108162747,24,4,Trigonal
mp-19024,HoVO3,0.0,-3.301341118499998,7.872520870621884,222.6308365086166,20,3,Orthorhombic
mp-504476,Cu2PO4F,0.0,-1.858791852142857,4.475984924990749,357.7245994223125,32,4,Monoclinic
mp-768221,YBiO3,3.0748,-2.764777345,7.174372126701876,160.11286607696232,10,3,Trigonal
mp-769470,Li11Fe(WO4)7,2.8156,-2.251534366312056,5.358167035413997,578.6166651326496,47,4,Monoclinic
mp-1205339,Ge(SeO3)2,3.727999999999999,-1.505156669409721,4.278777380996575,253.46476872417128,18,3,Monoclinic
mp-19379,CoSO4,2.1606,-1.7370555291666672,3.812099405037916,270.0628139714055,24,3,Orthorhombic
mp-22802,PrMn2O5,0.0,-2.595781837503592,5.853677363826245,375.3362593184159,32,3,Orthorhombic
mp-19121,TbVO4,2.9881,-3.20938931361111,5.626085387787339,161.66218136862443,12,3,Tetragonal
mp-1192830,Cu3(MoO5)2,0.0,-1.396173429,4.205990794984624,428.37106118896895,30,3,Monoclinic
mp-1041565,TiO2,1.82,-3.464407361944444,4.127531458338895,128.5226119523117,12,2,Orthorhombic
mp-1223316,KTi3AlO8,,-3.32467413901923,3.689392597165542,151.98280995652738,13,4,Triclinic
mp-504811,Rb2Pb4O7,0.9863000000000001,-1.510042240769228,7.385055761770363,499.94840413320475,26,3,Triclinic
mp-754526,TmBrO,4.4383,-3.322529855000001,6.273660463302988,140.19668430651433,6,3,Orthorhombic
mp-1226968,CaZrV2O8,2.525,-2.969095396666667,3.799461707847689,157.85231653832048,12,4,Tetragonal
mp-546292,YbClO,0.0,-3.484970913749999,6.684935055887468,111.52790483027516,6,3,Trigonal
mp-761281,FeSbO4,0.0,-1.834288585833332,6.2543795020464135,128.29108171669625,12,3,Tetragonal
mp-555022,LuSeO3F,4.2951000000000015,-2.82308066733507,6.712883611273939,317.5423328434585,24,4,Monoclinic
mp-18578,TlZnAsO4,3.1473,-1.683771338333335,6.012820638296494,451.4895444551059,28,4,Monoclinic
mp-556538,Na8(CuO2)5,0.0,-1.371228103088456,3.682597067078329,298.3445175272915,23,3,Monoclinic
mp-17189,K3Ce(PO4)2,0.0495,-2.949903627216836,3.556694253635383,417.7183172142527,28,4,Monoclinic
