formula,bulk_modulus,shear_modulus,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Ag2PdO2,83.87199118,13.8357163,Ag2 Pd1 O2,8,47,39,31.2,18.560000000000002,8,62,87,25,73.2,11.040000000000001,65,15.9994,107.8682,91.86880000000001,70.83104,43.865312,15.9994,54.8,1828.05,1773.25,881.5020000000001,661.3616,54.8,10,16,6,12.8,2.56,11,2,5,3,3.8,1.44,2,66,145,79,112.2,36.96,66,1.93,3.44,1.51,2.588,0.6816,1.93,0,2,2,1.2,0.64,1,0,4,4,1.6,1.9200000000000004,0,0,10,10,6,4.8,0,0,0,0,0,0,0,6,11,5,8.8,2.2399999999999998,6,0,1,1,0.4,0.4800000000000001,0,0,2,2,0.8,0.9600000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,9.105,16.33,7.224999999999998,13.056000000000001,3.160799999999999,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,139.8,102.24,12
Sr(CdP)2,53.39059973,34.04065801,Sr1 Cd2 P2,15,48,33,32.8,14.24,15,8,83,75,62.8,21.92,70,30.973762,112.411,81.43723800000001,74.8779048,35.12331424,30.973762,317.3,1050,732.7,574.608,205.8464,317.3,2,15,13,11.2,3.6800000000000006,12,3,5,2,4.2,0.96,3,107,195,88,139.4,25.919999999999998,107,0.95,2.19,1.24,1.7420000000000002,0.35840000000000005,1.69,2,2,0,2,0,2,0,3,3,1.2,1.44,0,0,10,10,4,4.8,0,0,0,0,0,0,0,2,12,10,7.2,3.8400000000000007,5,0,0,0,0,0,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.2,1.44,0,19.495,54.23,34.735,27.672095238079997,10.623161904767997,19.495,0,1.625,1.625,0.65,0.78,0,0,0,0,0,0,0,2,225,223,123.4,97.12,2
Rb2PtCl6,10.97105424,6.187549129,Rb2 Pt1 Cl6,17,78,61,28.22222222222222,14.962962962962965,17,4,94,90,70.55555555555556,31.259259259259263,94,35.453,195.084,159.631,64.30417777777777,38.46823703703703,35.453,171.6,2041.4,1869.8000000000002,410.65777777777777,362.38716049382714,171.6,1,17,16,12.666666666666666,5.777777777777778,17,3,6,3,3.7777777777777777,1.037037037037037,3,102,220,118,132,40,102,0.82,3.16,2.3400000000000003,2.5422222222222226,0.8237037037037038,3.16,1,2,1,1.6666666666666667,0.4444444444444444,2,0,5,5,3.3333333333333335,2.2222222222222223,5,0,9,9,1,1.7777777777777777,0,0,14,14,1.5555555555555556,2.765432098765432,0,1,24,23,7.555555555555555,3.654320987654321,7,0,1,1,0.3333333333333333,0.4444444444444444,0,0,1,1,0.6666666666666666,0.4444444444444444,1,0,1,1,0.1111111111111111,0.19753086419753085,0,0,0,0,0,0,0,1,2,1,1.1111111111111112,0.1975308641975309,1,15.02,90.7225,75.7025,38.16111111111111,23.360617283950617,24.4975,0,2.493,2.493,1.662,1.1079999999999999,2.493,0,0,0,0,0,0,64,229,165,118.55555555555556,72.74074074074075,64
BaC2,39.75969337,10.75012575,Ba1 C2,6,56,50,22.666666666666668,22.222222222222218,6,9,77,68,54.333333333333336,30.222222222222218,77,12.0107,137.327,125.3163,53.7828,55.69613333333333,12.0107,1000,3823,2823,2882,1254.6666666666667,3823,2,14,12,10,5.333333333333333,14,2,6,4,3.3333333333333335,1.777777777777778,2,76,215,139,122.33333333333333,61.77777777777777,76,0.89,2.55,1.6599999999999997,1.9966666666666664,0.7377777777777778,2.55,2,2,0,2,0,2,0,2,2,1.3333333333333333,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3.3333333333333335,0.8888888888888888,4,0,0,0,0,0,0,0,4,4,2.6666666666666665,1.777777777777778,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2.6666666666666665,1.777777777777778,4,5.64,63.59,57.95,24.956666666666667,25.75555555555556,5.64,0,4.496,4.496,2.9973333333333336,1.9982222222222223,4.496,0,0,0,0,0,0,194,229,35,205.66666666666666,15.555555555555552,194
Cu2O,111.5677659,8.352509741,Cu2 O1,8,29,21,22,9.333333333333334,29,64,87,23,71.66666666666667,10.222222222222223,64,15.9994,63.546,47.5466,47.69713333333333,21.131822222222223,63.546,54.8,1357.77,1302.97,923.4466666666667,579.0977777777778,1357.77,11,16,5,12.666666666666666,2.222222222222222,11,2,4,2,3.3333333333333335,0.8888888888888888,4,66,132,66,110,29.333333333333332,132,1.9,3.44,1.54,2.4133333333333336,0.6844444444444445,1.9,1,2,1,1.3333333333333333,0.4444444444444444,1,0,4,4,1.3333333333333333,1.777777777777778,0,0,10,10,6.666666666666667,4.444444444444444,10,0,0,0,0,0,0,6,11,5,9.333333333333334,2.222222222222222,11,0,1,1,0.6666666666666666,0.4444444444444445,1,0,2,2,0.6666666666666666,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.3333333333333333,0.4444444444444444,1,9.105,11.07,1.9649999999999999,10.415000000000001,0.8733333333333331,11.07,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,154,94.66666666666667,225
KZnP,36.08140891,26.17289888,K1 Zn1 P1,15,30,15,21.333333333333332,5.777777777777778,15,3,83,80,51.666666666666664,32.44444444444445,3,30.973762,65.38,34.406237999999995,45.15068733333333,13.486208444444442,30.973762,317.3,692.68,375.37999999999994,448.83666666666664,162.5622222222222,317.3,1,15,14,9.333333333333334,5.5555555555555545,1,3,4,1,3.6666666666666665,0.4444444444444445,3,107,203,96,144,39.333333333333336,107,0.82,2.19,1.37,1.5533333333333335,0.48888888888888876,0.82,1,2,1,1.6666666666666667,0.4444444444444444,1,0,3,3,1,1.3333333333333333,0,0,10,10,3.3333333333333335,4.444444444444445,0,0,0,0,0,0,0,1,12,11,6,4,1,0,1,1,0.3333333333333333,0.4444444444444444,0,0,3,3,1,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.3333333333333333,1.111111111111111,0,13.96,73.10666667,59.14666666669999,36.54563492063333,24.37402116404444,13.96,0,1.625,1.625,0.5416666666666666,0.7222222222222223,0,0,0,0,0,0,0,2,229,227,141.66666666666666,93.11111111111113,2
TlInS2,46.6410481,22.32305693,Tl1 In1 S2,16,81,65,40.5,24.5,16,75,88,13,81.75,6.25,88,32.065,204.3833,172.3183,95.832825,63.767825,32.065,388.36,577,188.64,445.8675,65.56625,388.36,13,16,3,14.5,1.5,16,3,6,3,4.25,1.25,3,105,145,40,124.25,19.25,105,1.62,2.58,0.96,2.14,0.44,2.58,2,2,0,2,0,2,1,4,3,2.5,1.5,4,0,10,10,5,5,0,0,14,14,3.5,5.25,0,6,27,21,13,7,6,0,0,0,0,0,0,2,5,3,3.5,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.5,1.5,2,24.26,26.91,2.6499999999999986,25.6859375,0.7129687499999982,25.786875,0,2.202,2.202,1.101,1.101,2.202,0,0,0,0,0,0,70,194,124,118.25,48.25,70
SnO,32.29093797,20.21644217,Sn1 O1,8,50,42,29,21,8,80,87,7,83.5,3.5,80,15.9994,118.71,102.7106,67.3547,51.3553,15.9994,54.8,505.08,450.28,279.94,225.14,54.8,14,16,2,15,1,14,2,5,3,3.5,1.5,2,66,139,73,102.5,36.5,66,1.96,3.44,1.48,2.7,0.74,1.96,2,2,0,2,0,2,2,4,2,3,1,2,0,10,10,5,5,0,0,0,0,0,0,0,6,14,8,10,4,6,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,9.105,33.285,24.179999999999996,21.195,12.089999999999998,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,141,129,76.5,64.5,12
HfBrN,37.95321225,17.6360125,Hf1 Br1 N1,7,72,65,38,22.666666666666668,7,45,95,50,74,19.333333333333332,45,14.0067,178.49,164.4833,90.80023333333334,58.45984444444446,14.0067,63.05,2506,2442.95,944.9500000000002,1040.7,63.05,4,17,13,12,5.333333333333333,4,2,6,4,4,1.3333333333333333,2,71,175,104,122,35.333333333333336,71,1.3,3.04,1.74,2.433333333333333,0.7555555555555555,1.3,2,2,0,2,0,2,0,5,5,2.6666666666666665,1.777777777777778,0,0,10,10,4,4,0,0,14,14,4.666666666666667,6.222222222222222,0,5,18,13,13.333333333333334,5.5555555555555545,5,0,0,0,0,0,0,0,3,3,1.3333333333333333,1.111111111111111,0,0,8,8,2.6666666666666665,3.5555555555555554,0,0,0,0,0,0,0,1,8,7,4,2.6666666666666665,1,14.76875,29.48,14.71125,22.149583333333336,4.920555555555555,14.76875,0,6.437,6.437,2.6313333333333335,2.5371111111111113,0,0,0,0,0,0,0,64,194,130,150.66666666666666,57.77777777777778,64
Rb2NbCl6,9.468323693,3.814267167,Rb2 Nb1 Cl6,17,41,24,24.11111111111111,9.481481481481483,17,4,94,90,68.77777777777777,33.62962962962963,94,35.453,92.90638,57.453379999999996,52.95110888888889,23.330811851851852,35.453,171.6,2750,2578.4,489.3911111111112,502.35753086419754,171.6,1,17,16,12.11111111111111,6.518518518518519,17,3,5,2,3.6666666666666665,0.8888888888888888,3,102,220,118,135.11111111111111,44.14814814814815,102,0.82,3.16,2.3400000000000003,2.466666666666667,0.9244444444444445,3.16,1,2,1,1.6666666666666667,0.4444444444444444,2,0,5,5,3.3333333333333335,2.2222222222222223,5,0,4,4,0.4444444444444444,0.7901234567901234,0,0,0,0,0,0,0,1,7,6,5.444444444444445,2.074074074074074,7,0,1,1,0.3333333333333333,0.4444444444444444,0,0,1,1,0.6666666666666666,0.4444444444444444,1,0,6,6,0.6666666666666666,1.1851851851851851,0,0,0,0,0,0,0,1,7,6,1.6666666666666667,1.1851851851851851,1,18.18,90.7225,72.54249999999999,38.51222222222222,23.20456790123457,24.4975,0,2.493,2.493,1.662,1.1079999999999999,2.493,0,0,0,0,0,0,64,229,165,119,73.33333333333333,64
